,age,sleep_duration,rem_sleep_percentage,deep_sleep_percentage,light_sleep_percentage,awakenings,caffeine_consumption,alcohol_consumption,exercise_frequency,hour_bedtime,hour_wakeup,gender_female,gender_male,smoking_status_no,smoking_status_yes
age,1.0,-0.04498529827982639,0.013897790593866123,-0.01661946296673819,0.0233209744261269,-0.013304225356711444,-0.1320699504064013,0.044806741598369865,0.04647154115275136,-0.014003824500156248,0.05384959953023282,-0.1982525738211469,0.1982525738211469,-0.020417112622074317,0.020417112622074317
sleep_duration,-0.04498529827982639,1.0,-0.009040392041062436,-0.010175673435244772,0.0169691296764735,-0.02459758934219022,0.010989226704262925,-0.034315504380715844,-0.06411467668402762,-0.0907678077685207,0.37953476542285525,0.03376875140808665,-0.03376875140808665,-0.0249943852702685,0.0249943852702685
rem_sleep_percentage,0.013897790593866123,-0.009040392041062436,1.0,-0.33152817066048595,0.028874175756893713,-0.026021465286035782,0.07877828269394113,-0.028455913653987665,0.04008489172061503,-0.06368191214652488,-0.054782233850651986,0.1383465948516141,-0.1383465948516141,-0.028460119733613346,0.028460119733613346
deep_sleep_percentage,-0.01661946296673819,-0.010175673435244772,-0.33152817066048595,1.0,-0.7570354208987715,-0.16601220602237335,0.004249031843972805,-0.2509952614378646,0.0762484578820943,0.033783041431970154,-0.025981677634623043,-0.05601734633750693,0.05601734633750693,0.12211404016074129,-0.12211404016074129
light_sleep_percentage,0.0233209744261269,0.0169691296764735,0.028874175756893713,-0.7570354208987715,1.0,0.16706618523144778,-0.02144459184438566,0.257449147973215,-0.09476899183229888,-0.006362196556200748,0.04646743404939093,-0.02279706709730008,0.02279706709730008,-0.08237026788502937,0.08237026788502937
awakenings,-0.013304225356711444,-0.02459758934219022,-0.026021465286035782,-0.16601220602237335,0.16706618523144778,1.0,-0.08989104248983694,0.13381183683688852,-0.18248173901904116,-0.06159299067150599,0.06450982830044302,-0.06560415571301963,0.06560415571301963,0.0031738979484994567,-0.0031738979484994567
caffeine_consumption,-0.1320699504064013,0.010989226704262925,0.07877828269394113,0.004249031843972805,-0.02144459184438566,-0.08989104248983694,1.0,-0.04555194333943057,-0.09947516725183583,0.01682580053639697,0.05275893919043318,0.3501520871893555,-0.3501520871893555,-0.038628532668927434,0.038628532668927434
alcohol_consumption,0.044806741598369865,-0.034315504380715844,-0.028455913653987665,-0.2509952614378646,0.257449147973215,0.13381183683688852,-0.04555194333943057,1.0,-0.030463337662481185,-0.009809829255187913,0.025783215746869242,-0.009454905681242111,0.009454905681242111,-0.0645197634215649,0.0645197634215649
exercise_frequency,0.04647154115275136,-0.06411467668402762,0.04008489172061503,0.0762484578820943,-0.09476899183229888,-0.18248173901904116,-0.09947516725183583,-0.030463337662481185,1.0,0.2965636503313595,-0.2336290036937653,-0.2092923601196824,0.2092923601196824,0.02563951898113736,-0.02563951898113736
hour_bedtime,-0.014003824500156248,-0.0907678077685207,-0.06368191214652488,0.033783041431970154,-0.006362196556200748,-0.06159299067150599,0.01682580053639697,-0.009809829255187913,0.2965636503313595,1.0,-0.30372009436826614,0.03460333577946599,-0.03460333577946599,0.14445560014639136,-0.14445560014639136
hour_wakeup,0.05384959953023282,0.37953476542285525,-0.054782233850651986,-0.025981677634623043,0.04646743404939093,0.06450982830044302,0.05275893919043318,0.025783215746869242,-0.2336290036937653,-0.30372009436826614,1.0,-0.005244134222062939,0.005244134222062939,-0.15942466374319028,0.15942466374319028
gender_female,-0.1982525738211469,0.03376875140808665,0.1383465948516141,-0.05601734633750693,-0.02279706709730008,-0.06560415571301963,0.3501520871893555,-0.009454905681242111,-0.2092923601196824,0.03460333577946599,-0.005244134222062939,1.0,-0.9999999999999999,0.14302011867714848,-0.14302011867714848
gender_male,0.1982525738211469,-0.03376875140808665,-0.1383465948516141,0.05601734633750693,0.02279706709730008,0.06560415571301963,-0.3501520871893555,0.009454905681242111,0.2092923601196824,-0.03460333577946599,0.005244134222062939,-0.9999999999999999,1.0,-0.14302011867714848,0.14302011867714848
smoking_status_no,-0.020417112622074317,-0.0249943852702685,-0.028460119733613346,0.12211404016074129,-0.08237026788502937,0.0031738979484994567,-0.038628532668927434,-0.0645197634215649,0.02563951898113736,0.14445560014639136,-0.15942466374319028,0.14302011867714848,-0.14302011867714848,1.0,-1.0
smoking_status_yes,0.020417112622074317,0.0249943852702685,0.028460119733613346,-0.12211404016074129,0.08237026788502937,-0.0031738979484994567,0.038628532668927434,0.0645197634215649,-0.02563951898113736,-0.14445560014639136,0.15942466374319028,-0.14302011867714848,0.14302011867714848,-1.0,1.0
