,age,sleep_duration,rem_sleep_percentage,deep_sleep_percentage,light_sleep_percentage,awakenings,caffeine_consumption,alcohol_consumption,exercise_frequency,hour_bedtime,hour_wakeup,gender_female,gender_male,smoking_status_no,smoking_status_yes
age,1.0,-0.062462073444900235,0.04209074306763431,0.021730104861790035,-0.03190474265163389,-0.015170001658994061,-0.14892472312673635,0.052238455762988474,0.08055764376500571,-0.06826551604143502,0.08280326991564524,-0.2444678024032618,0.24446780240326182,-0.031237430662070676,0.031237430662070766
sleep_duration,-0.062462073444900235,1.0,-0.015939756058921038,-0.037304273845033695,0.04180402537927362,-0.009696085024717431,-0.00995608988065657,-0.044325187133109664,-0.07425619641354209,-0.11356488180111206,0.50807413948047,0.04437607705070763,-0.04437607705070761,-0.004211313318813585,0.004211313318813564
rem_sleep_percentage,0.04209074306763431,-0.015939756058921038,1.0,-0.2081585535213899,-0.01746150044406831,-0.02851638364970511,0.058738446835550316,-0.047344329232818894,0.04631974074821477,0.0007198553107768767,-0.08466670630965886,0.16110230834568123,-0.1611023083456813,-0.03218403004571211,0.03218403004571203
deep_sleep_percentage,0.021730104861790035,-0.037304273845033695,-0.2081585535213899,1.0,-0.9743112112906173,-0.2803981942491012,0.005872882120044894,-0.35592528901872167,0.1688205725602647,0.08139219266133955,-0.09323377957878186,-0.07593914516976494,0.07593914516976481,0.2268023313989713,-0.2268023313989711
light_sleep_percentage,-0.03190474265163389,0.04180402537927362,-0.01746150044406831,-0.9743112112906173,1.0,0.2932000177009901,-0.019527985745390736,0.37474192807993245,-0.18324016728132408,-0.08336806846790976,0.1148017209415973,0.0405342886808251,-0.04053428868082508,-0.2244359696552995,0.22443596965529944
awakenings,-0.015170001658994061,-0.009696085024717431,-0.02851638364970511,-0.2803981942491012,0.2932000177009901,1.0,-0.1149358975002432,0.17594953322101226,-0.22637788995566158,-0.10726758359433716,0.08087746208174693,-0.0723783432388691,0.07237834323886909,0.015575966543622678,-0.015575966543622718
caffeine_consumption,-0.14892472312673635,-0.00995608988065657,0.058738446835550316,0.005872882120044894,-0.019527985745390736,-0.1149358975002432,1.0,-0.1205220545208929,-0.07663678371681622,0.045981171985857605,-0.02350584582873036,0.23666907295727857,-0.2366690729572785,-0.005299575732012455,0.005299575732012479
alcohol_consumption,0.052238455762988474,-0.044325187133109664,-0.047344329232818894,-0.35592528901872167,0.37474192807993245,0.17594953322101226,-0.1205220545208929,1.0,-0.008265870970556477,-0.043671356192879415,0.010731283248927474,-0.05155696964493245,0.051556969644932456,-0.07225293701154799,0.0722529370115479
exercise_frequency,0.08055764376500571,-0.07425619641354209,0.04631974074821477,0.1688205725602647,-0.18324016728132408,-0.22637788995566158,-0.07663678371681622,-0.008265870970556477,1.0,0.39353098055193114,-0.29637583989683247,-0.22240707224604409,0.22240707224604409,0.0398588764546753,-0.03985887645467523
hour_bedtime,-0.06826551604143502,-0.11356488180111206,0.0007198553107768767,0.08139219266133955,-0.08336806846790976,-0.10726758359433716,0.045981171985857605,-0.043671356192879415,0.39353098055193114,1.0,-0.7709144156042771,0.03219077128937285,-0.03219077128937282,0.20063010315648686,-0.20063010315648674
hour_wakeup,0.08280326991564524,0.50807413948047,-0.08466670630965886,-0.09323377957878186,0.1148017209415973,0.08087746208174693,-0.02350584582873036,0.010731283248927474,-0.29637583989683247,-0.7709144156042771,1.0,-0.00721804411221147,0.007218044112211458,-0.17511290136974367,0.17511290136974367
gender_female,-0.2444678024032618,0.04437607705070763,0.16110230834568123,-0.07593914516976494,0.0405342886808251,-0.0723783432388691,0.23666907295727857,-0.05155696964493245,-0.22240707224604409,0.03219077128937285,-0.00721804411221147,1.0,-0.9999999999999999,0.1430201186771486,-0.14302011867714873
gender_male,0.24446780240326182,-0.04437607705070761,-0.1611023083456813,0.07593914516976481,-0.04053428868082508,0.07237834323886909,-0.2366690729572785,0.051556969644932456,0.22240707224604409,-0.03219077128937282,0.007218044112211458,-0.9999999999999999,1.0,-0.1430201186771486,0.14302011867714876
smoking_status_no,-0.031237430662070676,-0.004211313318813585,-0.03218403004571211,0.2268023313989713,-0.2244359696552995,0.015575966543622678,-0.005299575732012455,-0.07225293701154799,0.0398588764546753,0.20063010315648686,-0.17511290136974367,0.1430201186771486,-0.1430201186771486,1.0,-1.0000000000000002
smoking_status_yes,0.031237430662070766,0.004211313318813564,0.03218403004571203,-0.2268023313989711,0.22443596965529944,-0.015575966543622718,0.005299575732012479,0.0722529370115479,-0.03985887645467523,-0.20063010315648674,0.17511290136974367,-0.14302011867714873,0.14302011867714876,-1.0000000000000002,1.0
