,age,sleep_duration,rem_sleep_percentage,deep_sleep_percentage,light_sleep_percentage,awakenings,caffeine_consumption,alcohol_consumption,exercise_frequency,hour_bedtime,hour_wakeup,gender_female,gender_male,smoking_status_no,smoking_status_yes
age,1.0,-0.05998871152493857,0.020089970600974397,-0.022772876755399133,0.036634285240545995,-0.01829087159501657,-0.16681720224038343,0.059464589317195386,0.06845679660100285,-0.008476947173982008,0.08094070917331178,-0.23978653656869175,0.23978653656869175,-0.024694502714485866,0.024694502714485866
sleep_duration,-0.05998871152493857,1.0,-0.012551702938977918,-0.015115252203751407,0.02304589521860807,-0.030595153609004517,0.014429023966407589,-0.04141642771053321,-0.08038066992558565,-0.11690758374579152,0.46997844704482566,0.03768149498125345,-0.03768149498125345,-0.027890453861897816,0.027890453861897816
rem_sleep_percentage,0.020089970600974397,-0.012551702938977918,1.0,-0.41742575234692547,0.05341170902351344,-0.033942883866210596,0.09434043234102599,-0.035143678424818206,0.04513584141983588,-0.08659941696374451,-0.07424390878551372,0.16029196113750196,-0.16029196113750196,-0.03297463454884432,0.03297463454884432
deep_sleep_percentage,-0.022772876755399133,-0.015115252203751407,-0.41742575234692547,1.0,-0.88491856805624,-0.2183003177543547,0.010649813406502092,-0.330998800825522,0.10145012111046708,0.04316353539470703,-0.04064917628999397,-0.0663497464230947,0.0663497464230947,0.14463797607527618,-0.14463797607527618
light_sleep_percentage,0.036634285240545995,0.02304589521860807,0.05341170902351344,-0.88491856805624,1.0,0.2196450832203299,-0.03170517994744287,0.33289524131006526,-0.12709142709304466,-0.010903270123273915,0.06273208372104845,-0.027010269583235248,0.027010269583235248,-0.09759339355900926,0.09759339355900926
awakenings,-0.01829087159501657,-0.030595153609004517,-0.033942883866210596,-0.2183003177543547,0.2196450832203299,1.0,-0.10653002219131866,0.16084827485509473,-0.22334497205131637,-0.07415994152026412,0.08502396501252492,-0.07259019685527261,0.07259019685527261,0.0035118793066701735,-0.0035118793066701735
caffeine_consumption,-0.16681720224038343,0.014429023966407589,0.09434043234102599,0.010649813406502092,-0.03170517994744287,-0.10653002219131866,1.0,-0.05281359781256188,-0.1362434812707381,0.019914609083802822,0.0641219377385133,0.3738904221420166,-0.3738904221420166,-0.04124732913130274,0.04124732913130274
alcohol_consumption,0.059464589317195386,-0.04141642771053321,-0.035143678424818206,-0.330998800825522,0.33289524131006526,0.16084827485509473,-0.05281359781256188,1.0,-0.03265401713546051,-0.01344820856226118,0.03079945270221325,-0.010238057766396799,0.010238057766396799,-0.0698639507631194,0.0698639507631194
exercise_frequency,0.06845679660100285,-0.08038066992558565,0.04513584141983588,0.10145012111046708,-0.12709142709304466,-0.22334497205131637,-0.1362434812707381,-0.03265401713546051,1.0,0.3612224850816127,-0.30161070730181333,-0.23231302440709226,0.23231302440709226,0.02845968288304908,-0.02845968288304908
hour_bedtime,-0.008476947173982008,-0.11690758374579152,-0.08659941696374451,0.04316353539470703,-0.010903270123273915,-0.07415994152026412,0.019914609083802822,-0.01344820856226118,0.3612224850816127,1.0,-0.5409461537077538,0.039119026966589275,-0.039119026966589275,0.16330687173098687,-0.16330687173098687
hour_wakeup,0.08094070917331178,0.46997844704482566,-0.07424390878551372,-0.04064917628999397,0.06273208372104845,0.08502396501252492,0.0641219377385133,0.03079945270221325,-0.30161070730181333,-0.5409461537077538,1.0,-0.006016957265070294,0.006016957265070294,-0.18291892391030884,0.18291892391030884
gender_female,-0.23978653656869175,0.03768149498125345,0.16029196113750196,-0.0663497464230947,-0.027010269583235248,-0.07259019685527261,0.3738904221420166,-0.010238057766396799,-0.23231302440709226,0.039119026966589275,-0.006016957265070294,1.0,-1.0,0.1430201186771485,-0.1430201186771485
gender_male,0.23978653656869175,-0.03768149498125345,-0.16029196113750196,0.0663497464230947,0.027010269583235248,0.07259019685527261,-0.3738904221420166,0.010238057766396799,0.23231302440709226,-0.039119026966589275,0.006016957265070294,-1.0,1.0,-0.1430201186771485,0.1430201186771485
smoking_status_no,-0.024694502714485866,-0.027890453861897816,-0.03297463454884432,0.14463797607527618,-0.09759339355900926,0.0035118793066701735,-0.04124732913130274,-0.0698639507631194,0.02845968288304908,0.16330687173098687,-0.18291892391030884,0.1430201186771485,-0.1430201186771485,1.0,-1.0
smoking_status_yes,0.024694502714485866,0.027890453861897816,0.03297463454884432,-0.14463797607527618,0.09759339355900926,-0.0035118793066701735,0.04124732913130274,0.0698639507631194,-0.02845968288304908,-0.16330687173098687,0.18291892391030884,-0.1430201186771485,0.1430201186771485,-1.0,1.0
